Timestamp,Author,Message
2024-07-17 20:00:57.442000+00:00,nimajjj,/ft2
2024-07-17 20:01:39.370000+00:00,nimajjj,/ft2-propose-activities
2024-07-17 20:06:26.745000+00:00,Coink,Shisheyu is now live on Twitch! Check out the stream at https://twitch.tv/Shisheyu
2024-07-17 20:06:49.670000+00:00,bahsiik,jure
2024-07-17 20:06:53.048000+00:00,bahsiik,et amouranth ?
2024-07-17 20:07:52.547000+00:00,nimajjj,/ft2
2024-07-17 20:07:54.219000+00:00,nimajjj,PTN
2024-07-17 20:08:07.488000+00:00,nimajjj,/ft2-propose-activities
2024-07-17 20:09:01.937000+00:00,Coink,===== LEADERBOARD =====
2024-07-17 20:10:16.437000+00:00,Coink,bahsiik (Bahsiik) stop saying curse words you bitch
2024-07-17 20:10:17.279000+00:00,Coink,https://giphy.com/gifs/primevideo-cassidy-this-bitch-somebody-i-used-to-know-vmxx1SONWDyhiHZSsp
2024-07-17 20:10:28.217000+00:00,bahsiik,wsh
2024-07-17 20:10:36.714000+00:00,nimajjj,on dirait qu il a react au bot mdr
2024-07-17 20:10:46.899000+00:00,Coink,"===== LEADERBOARD =====
- bahsiik (Bahsiik) : 1"
2024-07-17 20:10:49.237000+00:00,bahsiik,YES
2024-07-17 20:10:52.156000+00:00,bahsiik,EZ LES BOUFFONS
2024-07-17 20:10:52.348000+00:00,nimajjj,
2024-07-17 20:11:09.271000+00:00,nimajjj,-0.589 <@348205248906526721> tu peux mieux faire
2024-07-17 20:11:24.278000+00:00,bahsiik,mais quel sentiment meme
2024-07-17 20:11:27.459000+00:00,bahsiik,ça dit pas
2024-07-17 20:11:37.451000+00:00,Coink,bahsiik (Bahsiik) stop saying curse words you bitch
2024-07-17 20:11:40.574000+00:00,bahsiik,😦
2024-07-17 20:11:41.645000+00:00,nimajjj,haha
2024-07-17 20:11:42.136000+00:00,Coink,https://giphy.com/gifs/nbc-funny-lol-2WdHaCzmqSkrwmIGWP
2024-07-17 20:11:47.262000+00:00,bahsiik,?
2024-07-17 20:11:53.100000+00:00,bahsiik,att il a mis ce gif pour
2024-07-17 20:11:54.500000+00:00,bahsiik,le haha
2024-07-17 20:11:55.052000+00:00,Coink,https://giphy.com/gifs/goggleboxaustralia-goggleboxau-watching-tv-goggleboxau17-mMjeqV3oG4su3XCFK8
2024-07-17 20:11:57.133000+00:00,bahsiik,ou ce que j'ai dit
2024-07-17 20:12:00.114000+00:00,bahsiik,bon chef
2024-07-17 20:12:10.306000+00:00,nimajjj,
2024-07-17 20:12:23.575000+00:00,nimajjj,je vais peut etre augmente le sentiment minimum
2024-07-17 20:12:33.290000+00:00,bahsiik,HAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHAHAHHAHAHHAHHAHHA
2024-07-17 20:12:41.518000+00:00,nimajjj,haha > bit ch
2024-07-17 20:12:42.109000+00:00,Coink,https://giphy.com/gifs/netflix-blown-away-glassblowing-Ns2K2ajFe2TT0Fx9bM
2024-07-17 20:12:45.776000+00:00,nimajjj,ptn tg
2024-07-17 20:12:48.765000+00:00,bahsiik,mdrrr
2024-07-17 20:12:52.277000+00:00,bahsiik,LOL
2024-07-17 20:12:57.165000+00:00,bahsiik,lmao
2024-07-17 20:12:57.599000+00:00,Coink,https://giphy.com/gifs/nbcmarlon-season-1-nbc-1r91ZwKcE2J7WhUqrh
2024-07-17 20:13:01.675000+00:00,bahsiik,xdddd
2024-07-17 20:13:06.207000+00:00,Coink,nimajjj (Nimajjj) stop saying curse words you bitch
2024-07-17 20:13:07.202000+00:00,Coink,https://giphy.com/gifs/funny-comedy-humor-y2JIV6kY7cNzO
2024-07-17 20:13:17.592000+00:00,Coink,nimajjj (Nimajjj) stop saying curse words you bitch
2024-07-17 20:13:39.238000+00:00,nimajjj,bon j ai augmente le seuil parceque merde
2024-07-17 20:13:46.638000+00:00,Coink,[DEBUG] Manually running discussions analysis and recommendations ...
2024-07-17 20:13:50.972000+00:00,Coink,Here are some recommendations based on discussion 0 :
2024-07-17 20:13:51.258000+00:00,Coink,The Morning After: The biggest announcements from Nintendo Direct : https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_34b6b24a-08dd-4ee2-ad85-a3c15258d929
2024-07-17 20:13:51.647000+00:00,Coink,The $11 Billion Marketplace Enabling the Crypto Scam Economy : https://www.wired.com/story/pig-butchering-scam-crypto-huione-guarantee/
2024-07-17 20:13:51.886000+00:00,Coink,Strava launches a family plan : https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c15c939a-512b-45b1-9a12-489bff6b8aa9
2024-07-17 20:13:52.085000+00:00,Coink,A meeting to consider a bipartisan privacy bill just crumbled : https://www.theverge.com/2024/6/27/24187313/house-energy-commerce-committee-cancels-apra-privacy-bill-markup
2024-07-17 20:13:53.211000+00:00,Coink,Here are some recommendations based on discussion 1 :
2024-07-17 20:13:53.491000+00:00,Coink,Dr Disrespect finally shares why he was banned from Twitch : https://www.theverge.com/2024/6/25/24185821/dr-disrespect-twitch-ban-explanation-inappropriate-messages
2024-07-17 20:13:59.571000+00:00,nimajjj,mais ntm
2024-07-17 20:14:04.742000+00:00,bahsiik,pardon pardon
2024-07-17 20:14:05.182000+00:00,nimajjj,😭
2024-07-17 20:14:09.431000+00:00,bahsiik,jregardais juste mdrrr
2024-07-17 20:14:19.249000+00:00,nimajjj,c bon vas y je lai reset
2024-07-17 20:14:24.658000+00:00,Coink,[DEBUG] Manually running discussions analysis and recommendations ...
2024-07-17 20:14:27.090000+00:00,Coink,Here are some recommendations based on discussion 0 :
2024-07-17 20:14:27.306000+00:00,Coink,The Morning After: The biggest announcements from Nintendo Direct : https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_34b6b24a-08dd-4ee2-ad85-a3c15258d929
2024-07-17 20:14:27.570000+00:00,Coink,The $11 Billion Marketplace Enabling the Crypto Scam Economy : https://www.wired.com/story/pig-butchering-scam-crypto-huione-guarantee/
2024-07-17 20:14:27.807000+00:00,Coink,Strava launches a family plan : https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c15c939a-512b-45b1-9a12-489bff6b8aa9
